City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel_Name
Chui,-33.6971,-53.4616,74.86,38,0,3.91,UY,1643732789,Aquarella Hotel Resort
Mormugao,15.4,73.8,78.06,78,0,5.75,IN,1643733080,The Baga Beach Resort
Rocha,-34.4833,-54.3333,78.19,34,0,2.98,UY,1643733155,UY Proa Sur Hotel
Salalah,17.0151,54.0924,75.29,60,0,4.61,OM,1643733224,Hilton Salalah Resort
Iquique,-20.2208,-70.1431,75.24,65,0,8.63,CL,1643733306,Hotel Terrado Cavancha
‘Ewa Beach,21.3156,-158.0072,73.35,82,0,3.0,US,1643733598,Halekulani Hotel
